Player,Team,Position,MatchDate,MatchTime,Match,HomeAway,Result,HomeScore,AwayScore,Goals,Yellow cards,Red cards,Individual possession,Successful forward passes,Crosses in game,Crosses on restart of play,Shots,Shots on target,50/50 Ground challenges,50/50 air challenges,Tackles made,Tackles received,Dribble made,Dribble conceeded,Balls won,Balls lost,Passes towards final thirds,Fouls made,Fouls conceeded,Offsides,Passes,Successful passes,Forward passes,50/50 Ground challenges won,50/50 air challenges won,Tackles made won,Tackles received won,Successful dribble,Dribble conceeded won,Successful passes towards final thirds,Corners,Chances,Short passes (0-17m),Successful short passes (0-17m),Medium passes (17-34m),Successful medium passes (17-34m),Long passes (34+ m),Successful long passes (34+ m),Backward passes,Successful backward passes,Sideward passes,Successful sideward passes,Shots inside box,Shots outside box,Own goals,Goals on penalty,Penalties,Shots conceded,50/50 challenges,50/50 challenges won,Crosses,Throw-in,Successful crosses,Successful crosses in game,Successful crosses on restart of play,Assists,Goals on set play,Free kicks,Shots from head,Shots from right foot,Shots from left foot,Shots from foot,Shots not on restart of play,Shots on restart of play,Balls played in one touch,Goals on open play,Goals on open play on possession based attacks,Goals on open play on quick attacks,Goals on open play not on attack,Goals from inside box,Goals from outside box,Goals with head,Goals with foot,Goals with other part of body,Goals with right foot,Goals with left foot,Penalty kicks,Match played,Starter,Entire match played,Time played in real (min),Clearances,Fouls made in first third part,Fouls received in first third part,Fouls made in second third part,Fouls received in second third part,Assist to goal,2nd assist to goal,Blocks,Assist to shot,2nd assist to shot
Ireland Stephen,Stoke City,Holding central midfielder right,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,38,9,2,2,0,0,5,1,1,0,0,0,10,7,4,2,0,0,33,29,11,3,0,0,0,0,0,4,2,0,27,23,5,5,1,1,8,6,14,14,0,0,0,0,0,0,6,3,4,0,2,0,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97.932,3,0,0,2,0,0,0,0,4,0
Adam Charlie,Stoke City,Wide midfielder left,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,16,4,0,1,0,0,1,0,1,0,0,0,2,6,5,0,2,0,12,6,8,1,0,0,0,0,0,2,0,0,3,2,5,3,4,1,0,0,4,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.507,0,0,0,0,1,0,0,0,1,0
Whelan Glenn,Stoke City,Central midfielder,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,65,10,1,0,0,0,1,1,2,2,0,0,11,10,5,1,0,0,59,52,13,0,1,1,1,0,0,5,0,0,34,31,18,17,6,4,11,10,35,32,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,84.425,6,0,0,0,0,0,0,0,1,2
Bojan,Stoke City,Wide midfielder right,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,52,3,2,0,3,0,3,2,1,1,3,0,6,16,4,1,1,0,37,31,7,2,0,0,1,2,0,4,0,0,30,24,7,7,0,0,11,11,19,17,2,1,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,2,1,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97.932,4,0,0,1,1,0,0,0,0,1
Shawcross Ryan,Stoke City,Central defender right,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,78,18,0,0,2,1,1,4,2,0,0,0,17,26,13,0,0,0,65,53,29,1,3,0,0,0,0,8,0,0,19,18,29,28,17,7,2,2,34,33,2,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,1,1,0,1,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97.932,20,0,0,0,0,0,0,0,1,0
Wilson Marc,Stoke City,Central defender left,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,86,21,0,0,1,0,2,2,1,0,0,0,13,10,6,2,0,0,79,72,27,1,1,1,0,0,0,3,0,0,36,35,36,34,7,3,3,3,49,48,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97.932,12,1,0,1,0,0,0,0,1,0
Begovic Asmir,Stoke City,Goalkeeper,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,30,9,0,0,0,0,0,0,1,0,0,0,5,1,2,0,0,0,30,29,9,0,0,0,0,0,0,2,0,0,7,7,15,14,8,8,0,0,21,20,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97.932,1,0,0,0,0,0,0,0,0,0
Arnautovic Marko,Stoke City,Wide midfielder left,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,68,9,4,0,4,0,1,0,2,2,0,0,14,19,5,2,1,0,52,45,14,0,0,0,2,0,0,4,0,0,40,35,10,9,2,1,15,15,23,21,1,3,0,0,0,0,1,0,4,0,1,1,0,0,0,2,0,4,0,4,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97.932,5,0,0,2,1,0,0,0,2,1
Pieters Erik,Stoke City,Wide defender left,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,77,21,3,0,0,0,3,8,3,0,0,1,15,12,7,2,1,0,70,60,28,1,7,1,0,0,0,6,0,0,58,51,12,9,0,0,18,17,24,22,0,0,0,0,0,0,11,8,3,18,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97.932,16,1,0,1,0,0,0,0,2,1
Nzonzi Steven,Stoke City,Holding central midfielder left,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,74,11,0,0,1,1,6,2,0,0,1,0,6,13,12,1,1,0,72,60,20,2,2,0,0,1,0,8,0,0,44,38,22,18,6,4,9,9,43,40,0,1,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97.932,4,0,0,1,1,0,0,0,1,1
Diouf Mame,Stoke City,Centre forward,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,16,1,0,0,0,0,0,4,1,0,1,0,3,9,2,2,2,1,13,6,6,0,3,0,0,1,0,0,0,0,10,5,3,1,0,0,2,2,5,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,73.04134,7,0,0,2,2,0,0,0,0,0
Senderos Philippe,Aston Villa,Central defender right,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,A,W,0,1,0,0,0,29,6,0,0,1,0,2,2,0,2,0,0,7,12,4,2,2,0,23,15,13,1,0,0,1,0,0,0,0,0,9,6,10,9,4,0,0,0,10,9,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97.932,10,0,1,2,1,0,0,0,0,0
Richardson Kieran,Aston Villa,Holding central midfielder right,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,A,W,0,1,0,0,0,23,3,1,0,0,0,4,1,0,2,0,2,6,9,0,1,1,0,18,12,5,2,0,0,2,0,0,0,0,0,14,9,4,3,0,0,4,4,9,5,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97.932,2,1,0,0,1,0,0,0,1,0
N'Zogbia Charles,Aston Villa,Wide midfielder right,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,A,W,0,1,0,0,0,38,7,0,3,1,1,3,2,0,6,0,1,4,16,4,0,2,0,25,17,11,2,2,0,4,0,0,3,3,0,18,12,6,4,1,1,4,4,10,6,1,0,0,0,0,0,5,4,3,1,1,0,1,0,0,0,0,0,1,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,73.32484,2,0,0,0,1,1,0,0,2,0
